date        code      name     open    ma5   ma10   ma20  close
2016-04-18  601118  海南橡胶   6.11   6.24   6.14   6.13   6.25
2016-04-18  600737  中粮屯河  12.28  12.29  12.34  12.39  12.39
2016-04-18  600191  华资实业  16.72  16.78  16.82  16.96  17.10
2016-04-18  300380  安硕信息  46.96  48.43  48.31  48.36  49.50
2016-04-18  300342  天银机电  35.51  36.76  36.81  35.81  37.83
2016-04-18  002746  仙坛股份  33.89  33.95  34.26  34.76  35.28
2016-04-18  002431  棕榈园林  29.25  29.42  29.75  29.37  29.87
2016-04-18  002419  天虹商场  13.50  13.69  13.77  13.62  13.94
2016-04-18  002085  万丰奥威  34.56  34.71  34.95  34.71  35.01
2016-04-18  002048  宁波华翔  17.16  17.24  17.65  17.21  17.90
2016-04-18  000911  南宁糖业  16.00  16.26  16.41  16.64  17.50
2016-04-18  000833  贵糖股份  10.47  10.60  10.59  10.64  11.48
2016-04-15  600716  凤凰股份   8.26   8.28   8.26   8.29   8.33
2016-04-15  600476  湘邮科技  36.00  36.65  36.89  36.58  37.71
2016-04-15  600276  恒瑞医药  47.25  47.28  47.45  47.41  47.66
2016-04-15  600106  重庆路桥   8.19   8.24   8.26   8.24   8.51
2016-04-15  600071  凤凰光学  24.24  24.77  24.95  24.89  26.63
2016-04-15  002562  兄弟科技  27.02  27.18  27.74  27.75  27.90
2016-04-15  002458  益生股份  42.00  42.39  43.79  42.58  44.18
2016-04-15  002366  台海核电  49.22  49.55  49.44  49.52  51.81
2016-04-15  002119  康强电子  23.80  24.01  24.04  23.95  25.33
2016-04-15  002015  霞客环保  10.10  10.30  10.34  10.31  11.13
2016-04-15  000018  神州长城  48.86  49.73  50.83  49.02  50.98
2016-04-14  600883  博闻科技  15.56  15.65  15.63  15.69  15.89
2016-04-14  600689  上海三毛  19.30  19.33  19.39  19.42  19.69
2016-04-14  600666  奥瑞德    29.66  29.94  30.07  30.56  31.39
2016-04-14  600337  美克家居  12.54  12.58  12.81  13.12  13.13
2016-04-14  600310  桂东电力   7.85   7.96   8.01   7.96   8.10
2016-04-14  300471  厚普股份  54.49  54.83  55.71  54.49  56.03
2016-04-14  300052  中青宝    26.30  26.54  26.32  26.39  27.10
2016-04-14  002624  完美环球  36.96  37.01  37.60  37.26  37.75
2016-04-14  002502  骅威股份  27.94  28.05  28.25  28.23  29.23
2016-04-14  002477  雏鹰农牧  16.87  17.01  17.38  17.38  17.75
2016-04-14  002425  凯撒股份  23.88  24.00  24.00  24.28  25.18
2016-04-14  002371  七星电子  25.35  25.43  26.05  26.04  26.38
2016-04-14  002196  方正电机  26.11  26.20  26.25  26.22  26.45
2016-04-14  002145  中核钛白  19.86  20.30  20.76  20.19  21.14
2016-04-14  000518  四环生物   6.95   7.00   6.97   6.98   7.22
2016-04-13  603123  翠微股份   9.19   9.23   9.26   9.27   9.29
2016-04-13  601933  永辉超市   8.68   8.69   8.80   8.72   8.81
2016-04-13  601678  滨化股份   6.91   6.95   6.95   6.92   7.14
2016-04-13  600883  博闻科技  15.42  15.53  15.58  15.57  15.63
2016-04-13  600794  保税科技   5.40   5.43   5.43   5.46   5.50
2016-04-13  600726  华电能源   5.27   5.32   5.32   5.35   5.45
2016-04-13  600628  新世界    12.97  12.98  13.10  13.07  13.12
2016-04-13  600589  广东榕泰   8.96   9.03   9.10   8.99   9.12
2016-04-13  600533  栖霞建设   6.01   6.08   6.11   6.23   6.34
2016-04-13  600368  五洲交通   5.32   5.33   5.33   5.33   5.37
2016-04-13  600366  宁波韵升  19.38  19.39  19.70  19.59  19.80
2016-04-13  600315  上海家化  30.17  30.44  30.59  30.42  30.82
2016-04-13  600266  北京城建  12.38  12.38  12.46  12.42  12.59
2016-04-13  600178  东安动力   9.51   9.60   9.73   9.52   9.80
2016-04-13  600150  中国船舶  24.82  24.87  25.08  24.95  25.31
2016-04-13  600119  长江投资  16.43  16.43  16.64  16.59  16.64
2016-04-13  600038  中直股份  42.35  42.60  43.07  42.63  44.28
2016-04-13  600027  华电国际   5.59   5.60   5.64   5.60   5.67
2016-04-13  600021  上海电力  11.59  11.60  11.65  11.64  11.76
2016-04-13  300411  金盾股份  30.35  31.75  32.30  31.17  32.80
2016-04-13  300400  劲拓股份  28.75  28.94  29.16  28.93  29.22
2016-04-13  300385  雪浪环境  34.78  34.97  35.19  35.04  35.58
2016-04-13  300312  邦讯技术  28.88  29.58  30.27  29.88  30.35
2016-04-13  300236  上海新阳  32.50  32.59  33.27  32.78  33.32
2016-04-13  300212  易华录    29.23  29.57  30.17  30.13  30.32
2016-04-13  300208  恒顺众昇  15.10  15.44  15.66  15.21  16.50
2016-04-13  300130  新国都    30.49  30.70  30.90  30.50  31.99
2016-04-13  300067  安诺其     9.92   9.94  10.11  10.13  10.31
2016-04-13  002521  齐峰新材   9.55   9.56   9.62   9.64   9.66
2016-04-13  002440  闰土股份  18.85  19.11  19.29  19.39  19.51
2016-04-13  002415  海康威视  30.70  30.78  30.91  30.87  31.13
2016-04-13  002320  海峡股份  16.01  16.03  16.15  16.09  16.32
2016-04-13  002217  合力泰    12.38  12.53  12.59  12.51  12.64
2016-04-13  002142  宁波银行  13.45  13.47  13.50  13.46  13.62
2016-04-13  002103  广博股份  28.91  29.33  29.64  30.33  31.33
2016-04-13  002069  獐 子 岛   9.65   9.70   9.76   9.67  10.19
2016-04-13  000935  四川双马   6.75   6.77   6.78   6.78   6.86
2016-04-13  000881  大连国际  16.24  16.62  16.90  16.73  17.17
2016-04-13  000777  中核科技  24.95  25.14  25.58  25.16  25.74
2016-04-13  000738  中航动控  28.86  28.99  29.13  29.26  29.49
2016-04-13  000688  建新矿业   7.96   8.04   8.07   8.11   8.56
2016-04-13  000685  中山公用  11.50  11.51  11.55  11.52  11.70
2016-04-13  000681  视觉中国  25.68  26.03  26.16  25.84  26.20
2016-04-13  000620  新华联     7.42   7.48   7.58   7.51   7.62
2016-04-13  000598  兴蓉环境   5.84   5.85   5.90   5.90   5.92
2016-04-13  000587  金叶珠宝  16.71  16.88  16.89  16.82  17.55
2016-04-13  000543  皖能电力   6.84   6.86   6.93   6.85   6.93
2016-04-13  000530  大冷股份  15.25  15.42  15.43  15.26  15.73
2016-04-13  000521  美菱电器   5.71   5.71   5.74   5.74   5.84
2016-04-13  000043  中航地产   9.05   9.22   9.23   9.12   9.28
2016-04-13  000022  深赤湾Ａ  16.78  16.84  16.97  17.09  17.20
2016-04-13  000008  神州高铁  10.40  10.65  10.76  10.44  10.78
2016-04-12  600325  华发股份  12.45  12.66  12.61  12.81  13.08
2016-04-12  600248  延长化建   8.62   8.72   8.74   8.66   8.81
2016-04-12  300238  冠昊生物  43.30  43.51  44.32  44.98  45.00
2016-04-12  300101  振芯科技  21.60  21.91  21.94  21.68  22.00
2016-04-12  300078  思创医惠  31.82  32.15  32.71  32.46  33.00
2016-04-12  002713  东易日盛  34.80  35.64  35.55  35.89  36.40
2016-04-12  002240  威华股份  10.59  10.73  10.69  10.70  11.08
2016-04-12  002229  鸿博股份  23.56  23.83  23.98  23.79  24.34
2016-04-12  000707  双环科技   7.42   7.57   7.71   7.51   7.79
2016-04-12  000655  金岭矿业   8.36   8.41   8.37   8.41   8.95
2016-04-12  000426  兴业矿业   7.00   7.14   7.19   7.27   7.61
